Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
Atlantic County (Outside Somers Point City)--West to Hammonton Town PUMA; New Jersey,74,0,0,0,0,74,0,0,0,0,0,0,0,0
Bergen County (South Central)--Hackensack & Teaneck PUMA; New Jersey,7241,0,3018,3646,0,279,0,0,157,0,0,0,0,141
"Bergen County (West Central)--Fair Lawn, Garfield & Lodi PUMA; New Jersey",5015,0,1973,1830,0,1133,0,0,0,0,0,0,0,79
"Bergen County (East)--Tenafly, Park Ridge, Englewood City & Cresskill PUMA; New Jersey",8444,0,5414,2182,0,327,0,317,0,0,0,0,0,204
Passaic County (Central)--Hawthorne PUMA; New Jersey,2639,0,1071,1256,0,234,0,78,0,0,0,0,0,0
Passaic County--Paterson PUMA; New Jersey,1045,0,0,1045,0,0,0,0,0,0,0,0,0,0
Middlesex County (Southeast) PUMA; New Jersey,4583,0,597,3230,0,686,0,0,0,0,0,0,0,70
Somerset County (North & West) PUMA; New Jersey,1170,0,446,281,0,443,0,0,0,0,0,0,0,0
"Monmouth County (Southeast)--Wall, Tinton Falls (South) PUMA; New Jersey",1306,0,659,262,0,209,0,106,0,0,0,70,0,0
"Monmouth County (Southwest)--Freehold, Manalapan PUMA; New Jersey",2624,0,452,1677,0,418,0,77,0,0,0,0,0,0
Monmouth County (Central) PUMA; New Jersey,3208,0,691,1864,0,440,0,213,0,0,0,0,0,0
Ocean County (Central)--Toms River & Berkeley PUMA; New Jersey,213,0,87,84,0,42,0,0,0,0,0,0,0,0
Ocean County (Lakewood) PUMA; New Jersey,1377,0,584,793,0,0,0,0,0,0,0,0,0,0
Sussex County PUMA; New Jersey,1473,0,1441,0,0,32,0,0,0,0,0,0,0,0
Warren County PUMA; New Jersey,1105,0,308,637,0,160,0,0,0,0,0,0,0,0
Burlington County (North)--Burlington City PUMA; New Jersey,937,0,231,282,0,386,38,0,0,0,0,0,0,0
Burlington County (West Central) PUMA; New Jersey,126,0,0,0,0,126,0,0,0,0,0,0,0,0
Burlington County (South & East) PUMA; New Jersey,426,0,68,137,0,221,0,0,0,0,0,0,0,0
Camden County (North)--Camden & Gloucester Cities PUMA; New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden County (Central)--Lindenwold & Collingswood Boroughs PUMA; New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden County (South & West)--Bellmawr & Pine Hill Boroughs PUMA; New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden County (East Central)--Haddonfield Borough PUMA; New Jersey,86,0,0,0,0,86,0,0,0,0,0,0,0,0
Gloucester County (Northeast)--Woodbury City PUMA; New Jersey,331,0,331,0,0,0,0,0,0,0,0,0,0,0
Gloucester County (South & West)--Glassboro Borough PUMA; New Jersey,1120,0,0,629,0,231,260,0,0,0,0,0,0,0
Cumberland County (South)--Vineland & Millville Cities PUMA; New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salem & Cumberland (North) Counties--Bridgeton City PUMA; New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City PUMA; New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lawrence County PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren & Washington Counties PUMA; New York,59,0,59,0,0,0,0,0,0,0,0,0,0,0
Herkimer (North & Central) & Oneida (Outer) Counties PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oneida County (Central)--Greater Utica & Rome Cities PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",14,0,0,0,0,14,0,0,0,0,0,0,0,0
Oswego County PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onondaga County (Central)--Syracuse City PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onondaga County (North) PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onondaga County (Central)--Syracuse City (Outer) PUMA; New York,67,0,0,67,0,0,0,0,0,0,0,0,0,0
Cayuga & Onondaga (South) Counties PUMA; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0
